UID	Time Start	Time End	Estimated Regime
291	12:26:01.855	12:26:01.895	0.1084
292	12:26:03.585	12:26:03.608	0.1084
293	12:26:05.537	12:26:05.562	0.1084
294	12:26:07.844	12:26:07.873	0.1084
295	12:26:10.333	12:26:10.367	0.1084
296	12:26:13.099	12:26:13.130	0.1084
297	12:26:13.408	12:26:13.448	0.1084
298	12:26:16.052	12:26:16.085	0.1084
299	12:26:19.480	12:26:19.524	0.1084
300	12:26:23.291	12:26:23.340	0.1084
301	12:26:26.642	12:26:26.688	0.1084
302	12:26:30.060	12:26:30.106	0.1084
303	12:26:31.411	12:26:31.453	0.1084
304	12:26:34.493	12:26:34.533	0.1084
305	12:26:37.718	12:26:37.762	0.1084
306	12:26:41.046	12:26:41.092	0.1084
307	12:26:44.634	12:26:44.680	0.1084
308	12:26:48.054	12:26:48.102	0.1084
309	12:26:51.613	12:26:51.661	0.1084
310	12:26:55.175	12:26:55.224	0.1084
311	12:26:59.020	12:26:59.073	0.1084
312	12:27:02.801	12:27:02.854	0.1084
313	12:27:06.537	12:27:06.586	0.1084
314	12:27:10.363	12:27:10.414	0.1084
315	12:27:14.130	12:27:14.182	0.1084
316	12:27:17.873	12:27:17.926	0.1084
317	12:27:21.149	12:27:21.206	0.1084
318	12:27:25.712	12:27:25.801	0.1084
319	12:27:30.620	12:27:30.678	0.1084
320	12:27:33.688	12:27:33.733	0.1084
321	12:27:37.260	12:27:37.308	0.1084
322	12:27:41.054	12:27:41.109	0.1084
323	12:27:44.068	12:27:44.123	0.1084
324	12:27:45.985	12:27:46.041	0.1084
325	12:27:48.515	12:27:48.566	0.1084
326	12:27:50.527	12:27:50.579	0.1084
327	12:27:52.673	12:27:52.728	0.1084
328	12:27:55.383	12:27:55.434	0.1084
329	12:27:58.611	12:27:58.663	0.1084
330	12:27:59.474	12:27:59.529	0.1084
331	12:28:03.883	12:28:03.940	0.1084
332	12:28:07.455	12:28:07.510	0.1084
333	12:28:11.825	12:28:11.881	0.1084
334	12:28:12.657	12:28:12.714	0.1084
335	12:28:16.530	12:28:16.585	0.1084
336	12:28:20.115	12:28:20.171	0.1084
337	12:28:24.207	12:28:24.269	0.1084
338	12:28:28.457	12:28:28.543	0.1084
339	12:28:32.993	12:28:33.073	0.1084
340	12:28:37.180	12:28:37.249	0.1084
341	12:28:28.937	12:28:38.989	0.1084
342	12:28:42.823	12:28:42.877	0.1084
343	12:28:47.144	12:28:47.199	0.1084
344	12:28:51.199	12:28:51.255	0.1084
345	12:28:55.486	12:28:55.545	0.1084
346	12:28:59.985	12:29:00.046	0.1084
347	12:29:04.329	12:29:04.388	0.1084
348	12:29:05.784	12:29:05.841	0.1084
349	12:29:10.292	12:32:43.894	0.1084
350	12:32:47.815	12:32:47.867	0.1084
351	12:32:51.252	12:32:51.304	0.1084
352	12:32:54.860	12:32:54.915	0.1084
353	12:32:58.506	12:32:58.558	0.1084
354	12:33:04.747	12:33:04.775	0.1084
355	12:33:05.570	12:33:05.598	0.1084
356	12:33:05.956	12:33:05.982	0.1084
357	12:33:08.487	12:33:08.522	0.1084
358	12:33:09.300	12:33:09.333	0.1084
359	12:33:09.783	12:33:09.819	0.1084
360	12:33:12.388	12:33:49.718	0.1084
361	12:33:53.262	12:33:53.302	0.1084
362	12:33:56.462	12:33:56.519	0.1084
363	12:33:58.405	12:33:58.446	0.1084
364	12:34:00.216	12:34:00.241	0.1084
365	12:34:00.583	12:34:00.613	0.1084
366	12:34:02.688	12:34:02.726	0.1084
367	12:34:06.029	12:34:06.064	0.1084
368	12:34:08.491	12:34:08.522	0.1084
369	12:34:11.104	12:34:11.140	0.1084
370	12:34:12.590	12:34:12.629	0.1084
371	12:34:13.646	12:34:13.684	0.1084
372	12:34:16.625	12:34:16.663	0.1084
373	12:34:19.634	12:34:19.676	0.1084
374	12:34:22.749	12:34:22.789	0.1084
375	12:34:25.951	12:34:25.993	0.1084
376	12:34:29.250	12:34:29.294	0.1084
377	12:34:32.611	12:34:32.655	0.1084
378	12:34:36.119	12:34:36.165	0.1084
379	12:34:39.714	12:34:39.758	0.1084
380	12:34:43.241	12:34:43.289	0.1084
381	12:34:45.932	12:34:45.978	0.1084
382	12:34:49.416	12:34:49.468	0.1084
383	12:34:53.304	12:34:53.354	0.1084
384	12:34:57.027	12:34:57.077	0.1084
385	12:35:01.049	12:35:01.100	0.1084
386	12:35:04.976	12:35:05.029	0.1084
387	12:35:08.798	12:35:08.848	0.1084
388	12:35:12.682	12:35:12.735	0.1084
389	12:35:16.675	12:35:16.728	0.1084
390	12:35:20.953	12:35:21.007	0.1084
391	12:35:25.075	12:35:25.130	0.1084
392	12:35:29.386	12:35:29.444	0.1084
393	12:35:33.495	12:35:33.552	0.1084
394	12:35:36.763	12:35:36.817	0.1084
395	12:35:40.982	12:35:41.039	0.1084
396	12:35:43.644	12:35:43.701	0.1084
397	12:35:46.385	12:35:46.444	0.1084
398	12:35:47.962	12:35:48.019	0.1084
399	12:35:52.118	12:35:52.173	0.1084
400	12:35:54.262	12:35:54.318	0.1084
401	12:35:57.195	12:35:57.249	0.1084
