UID	Date	Time Start	Time End	Estimated Regime
256	14/12/17 	12:17:28.308	12:17:28.361	0.1084
257	14/12/17 	12:17:31.574	12:17:31.642	0.1084
258	14/12/17 	12:17:35.058	12:17:35.119	0.1084
259	14/12/17 	12:17:38.625	12:17:38.686	0.1084
260	14/12/17 	12:17:40.715	12:17:40.783	0.1084
261	14/12/17 	12:17:45.768	12:17:45.829	0.1084
262	14/12/17 	12:17:50.224	12:17:50.285	0.1084
263	14/12/17 	12:17:53.686	12:17:53.749	0.1084
264	14/12/17 	12:17:58.338	12:17:58.403	0.1084
265	14/12/17 	12:18:02.911	12:18:02.976	0.1084
266	14/12/17 	12:18:07.921	12:18:07.989	0.1084
267	14/12/17 	12:18:12.683	12:18:12.747	0.1084
268	14/12/17 	12:18:17.151	12:18:17.214	0.1084
269	14/12/17 	12:18:21.642	12:18:21.705	0.1084
270	14/12/17 	12:18:24.365	12:18:24.428	0.1084
271	14/12/17 	12:18:29.308	12:18:29.377	0.1084
272	14/12/17 	12:18:34.143	12:18:34.212	0.1084
273	14/12/17 	12:18:38.469	12:18:38.531	0.1084
274	14/12/17 	12:18:46.424	12:19:51.781	0.1084
275	14/12/17 	12:19:59.483	12:19:59.632	0.1084
276	14/12/17 	12:20:19.323	12:23:01.179	0.1084
277	14/12/17 	12:23:00.843	12:23:00.862	0.1084
278	14/12/17 	12:23:05.020	12:23:05.076	0.1084
279	14/12/17 	12:23:09.384	12:23:09.444	0.1084
280	14/12/17 	12:23:13.688	12:23:13.762	0.1084
281	14/12/17 	12:23:18.769	12:23:18.839	0.1084
282	14/12/17 	12:23:25.207	12:23:25.235	0.1084
283	14/12/17 	12:23:25.968	12:24:28.442	0.1084
284	14/12/17 	12:24:28.969	12:24:29.007	0.1084
285	14/12/17 	12:24:33.295	12:24:33.354	0.1084
286	14/12/17 	12:24:37.174	12:24:37.229	0.1084
287	14/12/17 	12:24:41.036	12:24:41.102	0.1084
288	14/12/17 	12:24:41.129	12:25:56.050	0.1084
289	14/12/17 	12:25:56.050	12:25:56.069	0.1084
290	14/12/17 	12:25:58.661	12:25:58.700	0.1084
291	14/12/17 	12:26:01.855	12:26:01.895	0.1084
292	14/12/17 	12:26:03.585	12:26:03.608	0.1084
293	14/12/17 	12:26:05.537	12:26:05.562	0.1084
294	14/12/17 	12:26:07.844	12:26:07.873	0.1084
295	14/12/17 	12:26:10.333	12:26:10.367	0.1084
296	14/12/17 	12:26:13.099	12:26:13.130	0.1084
297	14/12/17 	12:26:13.408	12:26:13.448	0.1084
298	14/12/17 	12:26:16.052	12:26:16.085	0.1084
299	14/12/17 	12:26:19.480	12:26:19.524	0.1084
300	14/12/17 	12:26:23.291	12:26:23.340	0.1084
301	14/12/17 	12:26:26.642	12:26:26.688	0.1084
302	14/12/17 	12:26:30.060	12:26:30.106	0.1084
303	14/12/17 	12:26:31.411	12:26:31.453	0.1084
304	14/12/17 	12:26:34.493	12:26:34.533	0.1084
305	14/12/17 	12:26:37.718	12:26:37.762	0.1084
306	14/12/17 	12:26:41.046	12:26:41.092	0.1084
307	14/12/17 	12:26:44.634	12:26:44.680	0.1084
308	14/12/17 	12:26:48.054	12:26:48.102	0.1084
309	14/12/17 	12:26:51.613	12:26:51.661	0.1084
310	14/12/17 	12:26:55.175	12:26:55.224	0.1084
311	14/12/17 	12:26:59.020	12:26:59.073	0.1084
312	14/12/17 	12:27:02.801	12:27:02.854	0.1084
313	14/12/17 	12:27:06.537	12:27:06.586	0.1084
314	14/12/17 	12:27:10.363	12:27:10.414	0.1084
315	14/12/17 	12:27:14.130	12:27:14.182	0.1084
316	14/12/17 	12:27:17.873	12:27:17.926	0.1084
317	14/12/17 	12:27:21.149	12:27:21.206	0.1084
318	14/12/17 	12:27:25.712	12:27:25.801	0.1084
319	14/12/17 	12:27:30.620	12:27:30.678	0.1084
320	14/12/17 	12:27:33.688	12:27:33.733	0.1084
321	14/12/17 	12:27:37.260	12:27:37.308	0.1084
322	14/12/17 	12:27:41.054	12:27:41.109	0.1084
323	14/12/17 	12:27:44.068	12:27:44.123	0.1084
324	14/12/17 	12:27:45.985	12:27:46.041	0.1084
325	14/12/17 	12:27:48.515	12:27:48.566	0.1084
326	14/12/17 	12:27:50.527	12:27:50.579	0.1084
327	14/12/17 	12:27:52.673	12:27:52.728	0.1084
328	14/12/17 	12:27:55.383	12:27:55.434	0.1084
329	14/12/17 	12:27:58.611	12:27:58.663	0.1084
330	14/12/17 	12:27:59.474	12:27:59.529	0.1084
331	14/12/17 	12:28:03.883	12:28:03.940	0.1084
332	14/12/17 	12:28:07.455	12:28:07.510	0.1084
333	14/12/17 	12:28:11.825	12:28:11.881	0.1084
334	14/12/17 	12:28:12.657	12:28:12.714	0.1084
335	14/12/17 	12:28:16.530	12:28:16.585	0.1084
336	14/12/17 	12:28:20.115	12:28:20.171	0.1084
